"","1","1","1"
"1",149,"dragonite","multiscale"
"2",149,"dragonite","inner-focus"
"3",148,"dragonair","marvel-scale"
"4",148,"dragonair","shed-skin"
"5",143,"snorlax","gluttony"
"6",143,"snorlax","thick-fat"
"7",143,"snorlax","immunity"
"8",141,"kabutops","weak-armor"
"9",141,"kabutops","battle-armor"
"10",141,"kabutops","swift-swim"
"11",139,"omastar","weak-armor"
"12",139,"omastar","shell-armor"
"13",139,"omastar","swift-swim"
"14",136,"flareon","guts"
"15",136,"flareon","flash-fire"
"16",135,"jolteon","quick-feet"
"17",135,"jolteon","volt-absorb"
"18",134,"vaporeon","hydration"
"19",134,"vaporeon","water-absorb"
"20",130,"gyarados","moxie"
"21",130,"gyarados","intimidate"
"22",126,"magmar","vital-spirit"
"23",126,"magmar","flame-body"
"24",125,"electabuzz","vital-spirit"
"25",125,"electabuzz","static"
"26",124,"jynx","dry-skin"
"27",124,"jynx","forewarn"
"28",124,"jynx","oblivious"
"29",122,"mr-mime","technician"
"30",122,"mr-mime","filter"
"31",122,"mr-mime","soundproof"
"32",121,"starmie","analytic"
"33",121,"starmie","natural-cure"
"34",121,"starmie","illuminate"
"35",119,"seaking","lightning-rod"
"36",119,"seaking","water-veil"
"37",119,"seaking","swift-swim"
"38",117,"seadra","damp"
"39",117,"seadra","sniper"
"40",117,"seadra","poison-point"
"41",113,"chansey","healer"
"42",113,"chansey","serene-grace"
"43",113,"chansey","natural-cure"
"44",112,"rhydon","reckless"
"45",112,"rhydon","rock-head"
"46",112,"rhydon","lightning-rod"
"47",110,"weezing","levitate"
"48",107,"hitmonchan","inner-focus"
"49",107,"hitmonchan","iron-fist"
"50",107,"hitmonchan","keen-eye"
"51",106,"hitmonlee","unburden"
"52",106,"hitmonlee","reckless"
"53",106,"hitmonlee","limber"
"54",105,"marowak","battle-armor"
"55",105,"marowak","lightning-rod"
"56",105,"marowak","rock-head"
"57",103,"exeggutor","harvest"
"58",103,"exeggutor","chlorophyll"
"59",101,"electrode","aftermath"
"60",101,"electrode","static"
"61",101,"electrode","soundproof"
"62",99,"kingler","sheer-force"
"63",99,"kingler","shell-armor"
"64",99,"kingler","hyper-cutter"
"65",97,"hypno","inner-focus"
"66",97,"hypno","forewarn"
"67",97,"hypno","insomnia"
"68",94,"gengar","cursed-body"
"69",93,"haunter","levitate"
"70",91,"cloyster","overcoat"
"71",91,"cloyster","skill-link"
"72",91,"cloyster","shell-armor"
"73",89,"muk","poison-touch"
"74",89,"muk","sticky-hold"
"75",89,"muk","stench"
"76",87,"dewgong","ice-body"
"77",87,"dewgong","hydration"
"78",87,"dewgong","thick-fat"
"79",85,"dodrio","tangled-feet"
"80",85,"dodrio","early-bird"
"81",85,"dodrio","run-away"
"82",82,"magneton","analytic"
"83",82,"magneton","sturdy"
"84",82,"magneton","magnet-pull"
"85",80,"slowbro","regenerator"
"86",80,"slowbro","own-tempo"
"87",80,"slowbro","oblivious"
"88",78,"rapidash","flame-body"
"89",78,"rapidash","flash-fire"
"90",78,"rapidash","run-away"
"91",76,"golem","sand-veil"
"92",76,"golem","sturdy"
"93",76,"golem","rock-head"
"94",75,"graveler","sand-veil"
"95",75,"graveler","sturdy"
"96",75,"graveler","rock-head"
"97",73,"tentacruel","rain-dish"
"98",73,"tentacruel","liquid-ooze"
"99",73,"tentacruel","clear-body"
"100",71,"victreebel","gluttony"
"101",71,"victreebel","chlorophyll"
"102",70,"weepinbell","gluttony"
"103",70,"weepinbell","chlorophyll"
"104",68,"machamp","steadfast"
"105",68,"machamp","no-guard"
"106",68,"machamp","guts"
"107",67,"machoke","steadfast"
"108",67,"machoke","no-guard"
"109",67,"machoke","guts"
"110",65,"alakazam","magic-guard"
"111",65,"alakazam","inner-focus"
"112",65,"alakazam","synchronize"
"113",64,"kadabra","magic-guard"
"114",64,"kadabra","inner-focus"
"115",64,"kadabra","synchronize"
"116",62,"poliwrath","swift-swim"
"117",62,"poliwrath","damp"
"118",62,"poliwrath","water-absorb"
"119",61,"poliwhirl","swift-swim"
"120",61,"poliwhirl","damp"
"121",61,"poliwhirl","water-absorb"
"122",59,"arcanine","justified"
"123",59,"arcanine","flash-fire"
"124",59,"arcanine","intimidate"
"125",57,"primeape","defiant"
"126",57,"primeape","anger-point"
"127",57,"primeape","vital-spirit"
"128",55,"golduck","swift-swim"
"129",55,"golduck","cloud-nine"
"130",55,"golduck","damp"
"131",53,"persian","unnerve"
"132",53,"persian","technician"
"133",53,"persian","limber"
"134",51,"dugtrio","sand-force"
"135",51,"dugtrio","arena-trap"
"136",51,"dugtrio","sand-veil"
"137",49,"venomoth","wonder-skin"
"138",49,"venomoth","tinted-lens"
"139",49,"venomoth","shield-dust"
"140",47,"parasect","damp"
"141",47,"parasect","dry-skin"
"142",47,"parasect","effect-spore"
"143",45,"vileplume","effect-spore"
"144",45,"vileplume","chlorophyll"
"145",44,"gloom","stench"
"146",44,"gloom","chlorophyll"
"147",42,"golbat","infiltrator"
"148",42,"golbat","inner-focus"
"149",40,"wigglytuff","frisk"
"150",40,"wigglytuff","competitive"
"151",40,"wigglytuff","cute-charm"
"152",39,"jigglypuff","friend-guard"
"153",39,"jigglypuff","competitive"
"154",39,"jigglypuff","cute-charm"
"155",38,"ninetales","drought"
"156",38,"ninetales","flash-fire"
"157",36,"clefable","unaware"
"158",36,"clefable","magic-guard"
"159",36,"clefable","cute-charm"
"160",35,"clefairy","friend-guard"
"161",35,"clefairy","magic-guard"
"162",35,"clefairy","cute-charm"
"163",34,"nidoking","sheer-force"
"164",34,"nidoking","rivalry"
"165",34,"nidoking","poison-point"
"166",33,"nidorino","hustle"
"167",33,"nidorino","rivalry"
"168",33,"nidorino","poison-point"
"169",31,"nidoqueen","sheer-force"
"170",31,"nidoqueen","rivalry"
"171",31,"nidoqueen","poison-point"
"172",30,"nidorina","hustle"
"173",30,"nidorina","rivalry"
"174",30,"nidorina","poison-point"
