"","1","1","1"
"1",149,"dragonite","fire-punch"
"2",149,"dragonite","ice-punch"
"3",149,"dragonite","thunder-punch"
"4",149,"dragonite","razor-wind"
"5",149,"dragonite","cut"
"6",149,"dragonite","wing-attack"
"7",149,"dragonite","fly"
"8",149,"dragonite","bind"
"9",149,"dragonite","slam"
"10",149,"dragonite","headbutt"
"11",149,"dragonite","horn-drill"
"12",149,"dragonite","body-slam"
"13",149,"dragonite","wrap"
"14",149,"dragonite","take-down"
"15",149,"dragonite","double-edge"
"16",149,"dragonite","leer"
"17",149,"dragonite","roar"
"18",149,"dragonite","flamethrower"
"19",149,"dragonite","water-gun"
"20",149,"dragonite","surf"
"21",149,"dragonite","ice-beam"
"22",149,"dragonite","blizzard"
"23",149,"dragonite","bubble-beam"
"24",149,"dragonite","hyper-beam"
"25",149,"dragonite","strength"
"26",149,"dragonite","dragon-rage"
"27",149,"dragonite","thunderbolt"
"28",149,"dragonite","thunder-wave"
"29",149,"dragonite","thunder"
"30",149,"dragonite","earthquake"
"31",149,"dragonite","toxic"
"32",149,"dragonite","agility"
"33",149,"dragonite","rage"
"34",149,"dragonite","mimic"
"35",149,"dragonite","double-team"
"36",149,"dragonite","light-screen"
"37",149,"dragonite","reflect"
"38",149,"dragonite","bide"
"39",149,"dragonite","fire-blast"
"40",149,"dragonite","waterfall"
"41",149,"dragonite","swift"
"42",149,"dragonite","skull-bash"
"43",149,"dragonite","rest"
"44",149,"dragonite","rock-slide"
"45",149,"dragonite","substitute"
"46",149,"dragonite","snore"
"47",149,"dragonite","curse"
"48",149,"dragonite","protect"
"49",149,"dragonite","mud-slap"
"50",149,"dragonite","zap-cannon"
"51",149,"dragonite","icy-wind"
"52",149,"dragonite","detect"
"53",149,"dragonite","outrage"
"54",149,"dragonite","sandstorm"
"55",149,"dragonite","endure"
"56",149,"dragonite","swagger"
"57",149,"dragonite","fury-cutter"
"58",149,"dragonite","steel-wing"
"59",149,"dragonite","attract"
"60",149,"dragonite","sleep-talk"
"61",149,"dragonite","return"
"62",149,"dragonite","frustration"
"63",149,"dragonite","safeguard"
"64",149,"dragonite","dynamic-punch"
"65",149,"dragonite","dragon-breath"
"66",149,"dragonite","iron-tail"
"67",149,"dragonite","hidden-power"
"68",149,"dragonite","twister"
"69",149,"dragonite","rain-dance"
"70",149,"dragonite","sunny-day"
"71",149,"dragonite","rock-smash"
"72",149,"dragonite","whirlpool"
"73",149,"dragonite","heat-wave"
"74",149,"dragonite","hail"
"75",149,"dragonite","facade"
"76",149,"dragonite","focus-punch"
"77",149,"dragonite","superpower"
"78",149,"dragonite","brick-break"
"79",149,"dragonite","secret-power"
"80",149,"dragonite","dive"
"81",149,"dragonite","air-cutter"
"82",149,"dragonite","rock-tomb"
"83",149,"dragonite","aerial-ace"
"84",149,"dragonite","dragon-claw"
"85",149,"dragonite","dragon-dance"
"86",149,"dragonite","shock-wave"
"87",149,"dragonite","water-pulse"
"88",149,"dragonite","roost"
"89",149,"dragonite","natural-gift"
"90",149,"dragonite","tailwind"
"91",149,"dragonite","fling"
"92",149,"dragonite","aqua-tail"
"93",149,"dragonite","dragon-pulse"
"94",149,"dragonite","dragon-rush"
"95",149,"dragonite","focus-blast"
"96",149,"dragonite","giga-impact"
"97",149,"dragonite","defog"
"98",149,"dragonite","draco-meteor"
"99",149,"dragonite","iron-head"
"100",149,"dragonite","stone-edge"
"101",149,"dragonite","captivate"
"102",149,"dragonite","ominous-wind"
"103",149,"dragonite","hone-claws"
"104",149,"dragonite","round"
"105",149,"dragonite","sky-drop"
"106",149,"dragonite","incinerate"
"107",149,"dragonite","bulldoze"
"108",149,"dragonite","dragon-tail"
"109",149,"dragonite","hurricane"
"110",149,"dragonite","confide"
"111",149,"dragonite","power-up-punch"
"112",149,"dragonite","brutal-swing"
"113",148,"dragonair","bind"
"114",148,"dragonair","slam"
"115",148,"dragonair","headbutt"
"116",148,"dragonair","horn-drill"
"117",148,"dragonair","body-slam"
"118",148,"dragonair","wrap"
"119",148,"dragonair","take-down"
"120",148,"dragonair","double-edge"
"121",148,"dragonair","leer"
"122",148,"dragonair","flamethrower"
"123",148,"dragonair","water-gun"
"124",148,"dragonair","surf"
"125",148,"dragonair","ice-beam"
"126",148,"dragonair","blizzard"
"127",148,"dragonair","bubble-beam"
"128",148,"dragonair","hyper-beam"
"129",148,"dragonair","dragon-rage"
"130",148,"dragonair","thunderbolt"
"131",148,"dragonair","thunder-wave"
"132",148,"dragonair","thunder"
"133",148,"dragonair","toxic"
"134",148,"dragonair","agility"
"135",148,"dragonair","rage"
"136",148,"dragonair","mimic"
"137",148,"dragonair","double-team"
"138",148,"dragonair","light-screen"
"139",148,"dragonair","reflect"
"140",148,"dragonair","bide"
"141",148,"dragonair","fire-blast"
"142",148,"dragonair","waterfall"
"143",148,"dragonair","swift"
"144",148,"dragonair","skull-bash"
"145",148,"dragonair","rest"
"146",148,"dragonair","substitute"
"147",148,"dragonair","snore"
"148",148,"dragonair","curse"
"149",148,"dragonair","protect"
"150",148,"dragonair","zap-cannon"
"151",148,"dragonair","icy-wind"
"152",148,"dragonair","detect"
"153",148,"dragonair","outrage"
"154",148,"dragonair","endure"
"155",148,"dragonair","swagger"
"156",148,"dragonair","attract"
"157",148,"dragonair","sleep-talk"
"158",148,"dragonair","return"
"159",148,"dragonair","frustration"
"160",148,"dragonair","safeguard"
"161",148,"dragonair","dragon-breath"
"162",148,"dragonair","iron-tail"
"163",148,"dragonair","hidden-power"
"164",148,"dragonair","twister"
"165",148,"dragonair","rain-dance"
"166",148,"dragonair","sunny-day"
"167",148,"dragonair","whirlpool"
"168",148,"dragonair","hail"
"169",148,"dragonair","facade"
"170",148,"dragonair","secret-power"
"171",148,"dragonair","dragon-dance"
"172",148,"dragonair","shock-wave"
"173",148,"dragonair","water-pulse"
"174",148,"dragonair","natural-gift"
"175",148,"dragonair","aqua-tail"
"176",148,"dragonair","dragon-pulse"
"177",148,"dragonair","dragon-rush"
"178",148,"dragonair","draco-meteor"
"179",148,"dragonair","captivate"
"180",148,"dragonair","round"
"181",148,"dragonair","incinerate"
"182",148,"dragonair","dragon-tail"
"183",148,"dragonair","confide"
"184",148,"dragonair","brutal-swing"
"185",143,"snorlax","mega-punch"
"186",143,"snorlax","pay-day"
"187",143,"snorlax","fire-punch"
"188",143,"snorlax","ice-punch"
"189",143,"snorlax","thunder-punch"
"190",143,"snorlax","whirlwind"
"191",143,"snorlax","mega-kick"
"192",143,"snorlax","headbutt"
"193",143,"snorlax","tackle"
"194",143,"snorlax","body-slam"
"195",143,"snorlax","take-down"
"196",143,"snorlax","double-edge"
"197",143,"snorlax","flamethrower"
"198",143,"snorlax","water-gun"
"199",143,"snorlax","surf"
"200",143,"snorlax","ice-beam"
"201",143,"snorlax","blizzard"
"202",143,"snorlax","bubble-beam"
"203",143,"snorlax","hyper-beam"
"204",143,"snorlax","submission"
"205",143,"snorlax","counter"
"206",143,"snorlax","seismic-toss"
"207",143,"snorlax","strength"
"208",143,"snorlax","solar-beam"
"209",143,"snorlax","thunderbolt"
"210",143,"snorlax","thunder"
"211",143,"snorlax","earthquake"
"212",143,"snorlax","fissure"
"213",143,"snorlax","toxic"
"214",143,"snorlax","psychic"
"215",143,"snorlax","rage"
"216",143,"snorlax","mimic"
"217",143,"snorlax","double-team"
"218",143,"snorlax","harden"
"219",143,"snorlax","defense-curl"
"220",143,"snorlax","reflect"
"221",143,"snorlax","bide"
"222",143,"snorlax","metronome"
"223",143,"snorlax","self-destruct"
"224",143,"snorlax","lick"
"225",143,"snorlax","fire-blast"
"226",143,"snorlax","skull-bash"
"227",143,"snorlax","amnesia"
"228",143,"snorlax","psywave"
"229",143,"snorlax","rest"
"230",143,"snorlax","rock-slide"
"231",143,"snorlax","substitute"
"232",143,"snorlax","snore"
"233",143,"snorlax","curse"
"234",143,"snorlax","protect"
"235",143,"snorlax","belly-drum"
"236",143,"snorlax","mud-slap"
"237",143,"snorlax","zap-cannon"
"238",143,"snorlax","icy-wind"
"239",143,"snorlax","outrage"
"240",143,"snorlax","sandstorm"
"241",143,"snorlax","endure"
"242",143,"snorlax","charm"
"243",143,"snorlax","rollout"
"244",143,"snorlax","swagger"
"245",143,"snorlax","attract"
"246",143,"snorlax","sleep-talk"
"247",143,"snorlax","return"
"248",143,"snorlax","frustration"
"249",143,"snorlax","dynamic-punch"
"250",143,"snorlax","pursuit"
"251",143,"snorlax","hidden-power"
"252",143,"snorlax","rain-dance"
"253",143,"snorlax","sunny-day"
"254",143,"snorlax","crunch"
"255",143,"snorlax","psych-up"
"256",143,"snorlax","shadow-ball"
"257",143,"snorlax","rock-smash"
"258",143,"snorlax","whirlpool"
"259",143,"snorlax","facade"
"260",143,"snorlax","focus-punch"
"261",143,"snorlax","superpower"
"262",143,"snorlax","recycle"
"263",143,"snorlax","brick-break"
"264",143,"snorlax","yawn"
"265",143,"snorlax","secret-power"
"266",143,"snorlax","hyper-voice"
"267",143,"snorlax","rock-tomb"
"268",143,"snorlax","block"
"269",143,"snorlax","covet"
"270",143,"snorlax","shock-wave"
"271",143,"snorlax","water-pulse"
"272",143,"snorlax","natural-gift"
"273",143,"snorlax","fling"
"274",143,"snorlax","last-resort"
"275",143,"snorlax","seed-bomb"
"276",143,"snorlax","focus-blast"
"277",143,"snorlax","giga-impact"
"278",143,"snorlax","zen-headbutt"
"279",143,"snorlax","rock-climb"
"280",143,"snorlax","gunk-shot"
"281",143,"snorlax","iron-head"
"282",143,"snorlax","captivate"
"283",143,"snorlax","smack-down"
"284",143,"snorlax","heavy-slam"
"285",143,"snorlax","after-you"
"286",143,"snorlax","round"
"287",143,"snorlax","chip-away"
"288",143,"snorlax","incinerate"
"289",143,"snorlax","retaliate"
"290",143,"snorlax","bulldoze"
"291",143,"snorlax","work-up"
"292",143,"snorlax","wild-charge"
"293",143,"snorlax","belch"
"294",143,"snorlax","confide"
"295",143,"snorlax","power-up-punch"
"296",143,"snorlax","high-horsepower"
"297",141,"kabutops","scratch"
"298",141,"kabutops","razor-wind"
"299",141,"kabutops","swords-dance"
"300",141,"kabutops","cut"
"301",141,"kabutops","mega-kick"
"302",141,"kabutops","sand-attack"
"303",141,"kabutops","headbutt"
"304",141,"kabutops","body-slam"
"305",141,"kabutops","take-down"
"306",141,"kabutops","double-edge"
"307",141,"kabutops","leer"
"308",141,"kabutops","water-gun"
"309",141,"kabutops","hydro-pump"
"310",141,"kabutops","surf"
"311",141,"kabutops","ice-beam"
"312",141,"kabutops","blizzard"
"313",141,"kabutops","bubble-beam"
"314",141,"kabutops","hyper-beam"
"315",141,"kabutops","submission"
"316",141,"kabutops","low-kick"
"317",141,"kabutops","seismic-toss"
"318",141,"kabutops","absorb"
"319",141,"kabutops","mega-drain"
"320",141,"kabutops","dig"
"321",141,"kabutops","toxic"
"322",141,"kabutops","rage"
"323",141,"kabutops","mimic"
"324",141,"kabutops","double-team"
"325",141,"kabutops","harden"
"326",141,"kabutops","reflect"
"327",141,"kabutops","bide"
"328",141,"kabutops","waterfall"
"329",141,"kabutops","skull-bash"
"330",141,"kabutops","rest"
"331",141,"kabutops","rock-slide"
"332",141,"kabutops","slash"
"333",141,"kabutops","substitute"
"334",141,"kabutops","thief"
"335",141,"kabutops","snore"
"336",141,"kabutops","curse"
"337",141,"kabutops","protect"
"338",141,"kabutops","mud-slap"
"339",141,"kabutops","icy-wind"
"340",141,"kabutops","sandstorm"
"341",141,"kabutops","giga-drain"
"342",141,"kabutops","endure"
"343",141,"kabutops","rollout"
"344",141,"kabutops","swagger"
"345",141,"kabutops","fury-cutter"
"346",141,"kabutops","attract"
"347",141,"kabutops","sleep-talk"
"348",141,"kabutops","return"
"349",141,"kabutops","frustration"
"350",141,"kabutops","hidden-power"
"351",141,"kabutops","rain-dance"
"352",141,"kabutops","ancient-power"
"353",141,"kabutops","rock-smash"
"354",141,"kabutops","whirlpool"
"355",141,"kabutops","hail"
"356",141,"kabutops","facade"
"357",141,"kabutops","nature-power"
"358",141,"kabutops","superpower"
"359",141,"kabutops","brick-break"
"360",141,"kabutops","knock-off"
"361",141,"kabutops","secret-power"
"362",141,"kabutops","dive"
"363",141,"kabutops","rock-tomb"
"364",141,"kabutops","metal-sound"
"365",141,"kabutops","aerial-ace"
